year,month,day,decimal_date,ppm,n_days,date,imputed
1974,5,19,1974.3795,333.37,5,1974-05-19,0
1974,5,26,1974.3986,332.95,6,1974-05-26,0
1974,6,2,1974.4178,332.35,5,1974-06-02,0
1974,6,9,1974.437,332.2,7,1974-06-09,0
1974,6,16,1974.4562,332.37,7,1974-06-16,0
1974,6,23,1974.4753,331.73,5,1974-06-23,0
1974,6,30,1974.4945,331.69,6,1974-06-30,0
1974,7,7,1974.5137,331.46,6,1974-07-07,0
1974,7,14,1974.5329,330.83,5,1974-07-14,0
1974,7,21,1974.5521,330.76,7,1974-07-21,0
1974,7,28,1974.5712,329.81,4,1974-07-28,0
1974,8,4,1974.5904,329.85,5,1974-08-04,0
1974,8,11,1974.6096,329.15,5,1974-08-11,0
1974,8,18,1974.6288,329.06,6,1974-08-18,0
1974,8,25,1974.6479,328.33,7,1974-08-25,0
1974,9,1,1974.6671,328.06,5,1974-09-01,0
1974,9,8,1974.6863,327.56,4,1974-09-08,0
1974,9,15,1974.7055,326.72,6,1974-09-15,0
1974,9,22,1974.7247,326.99,5,1974-09-22,0
1974,9,29,1974.7438,327.31,5,1974-09-29,0
1974,10,6,1974.763,327.07,6,1974-10-06,0
1974,10,13,1974.7822,327.23,5,1974-10-13,0
1974,10,20,1974.8014,327.4,5,1974-10-20,0
1974,10,27,1974.8205,327.64,7,1974-10-27,0
1974,11,3,1974.8397,327.8,7,1974-11-03,0
1974,11,10,1974.8589,328.5,6,1974-11-10,0
1974,11,17,1974.8781,328.61,6,1974-11-17,0
1974,11,24,1974.8973,328.46,5,1974-11-24,0
1974,12,1,1974.9164,328.8,5,1974-12-01,0
1974,12,8,1974.9356,329.39,7,1974-12-08,0
1974,12,15,1974.9548,329.78,7,1974-12-15,0
1974,12,22,1974.974,329.96,7,1974-12-22,0
1974,12,29,1974.9932,330.38,7,1974-12-29,0
1975,1,5,1975.0123,330.49,6,1975-01-05,0
1975,1,12,1975.0315,330.59,7,1975-01-12,0
1975,1,19,1975.0507,330.79,7,1975-01-19,0
1975,1,26,1975.0699,331.24,7,1975-01-26,0
1975,2,2,1975.089,331.64,6,1975-02-02,0
1975,2,9,1975.1082,331.11,7,1975-02-09,0
1975,2,16,1975.1274,331.42,6,1975-02-16,0
1975,2,23,1975.1466,331.96,7,1975-02-23,0
1975,3,2,1975.1658,331.77,3,1975-03-02,0
1975,3,9,1975.1849,331.64,5,1975-03-09,0
1975,3,16,1975.2041,332.11,5,1975-03-16,0
1975,3,23,1975.2233,331.9,3,1975-03-23,0
1975,3,30,1975.2425,333.3,5,1975-03-30,0
1975,4,6,1975.2616,332.78,5,1975-04-06,0
1975,4,13,1975.2808,333.16,3,1975-04-13,0
1975,4,20,1975.3,333.28,6,1975-04-20,0
1975,4,27,1975.3192,333.48,7,1975-04-27,0
1975,5,4,1975.3384,333.94,7,1975-05-04,0
1975,5,11,1975.3575,334.25,6,1975-05-11,0
1975,5,18,1975.3767,333.46,5,1975-05-18,0
1975,5,25,1975.3959,334,7,1975-05-25,0
1975,6,1,1975.4151,333.96,7,1975-06-01,0
1975,6,8,1975.4342,333.19,6,1975-06-08,0
1975,6,15,1975.4534,333.23,7,1975-06-15,0
1975,6,22,1975.4726,333.5,6,1975-06-22,0
1975,6,29,1975.4918,333,6,1975-06-29,0
1975,7,6,1975.511,332.32,6,1975-07-06,0
1975,7,13,1975.5301,331.83,5,1975-07-13,0
1975,7,20,1975.5493,331.37,4,1975-07-20,0
1975,7,27,1975.5685,331.22,5,1975-07-27,0
1975,8,3,1975.5877,331.01,6,1975-08-03,0
1975,8,10,1975.6068,330.38,5,1975-08-10,0
1975,8,17,1975.626,329.48,6,1975-08-17,0
1975,8,24,1975.6452,328.73,5,1975-08-24,0
1975,8,31,1975.6644,329.32,5,1975-08-31,0
