period,year,month,value
185001,1850,1,-0.44
185002,1850,2,-0.29
185003,1850,3,-0.26
185004,1850,4,-0.29
185005,1850,5,-0.28
185006,1850,6,-0.24
185007,1850,7,-0.2
185008,1850,8,-0.18
185009,1850,9,-0.17
185010,1850,10,-0.18
185011,1850,11,-0.17
185012,1850,12,-0.16
185101,1851,1,-0.17
185102,1851,2,-0.13
185103,1851,3,-0.16
185104,1851,4,-0.2
185105,1851,5,-0.2
185106,1851,6,-0.17
185107,1851,7,-0.13
185108,1851,8,-0.09
185109,1851,9,-0.08
185110,1851,10,-0.07
185111,1851,11,-0.07
185112,1851,12,-0.06
185201,1852,1,-0.06
185202,1852,2,-0.14
185203,1852,3,-0.19
185204,1852,4,-0.19
185205,1852,5,-0.17
185206,1852,6,-0.11
185207,1852,7,-0.09
185208,1852,8,-0.07
185209,1852,9,-0.05
185210,1852,10,-0.04
185211,1852,11,-0.04
185212,1852,12,-0.03
185301,1853,1,-0.17
185302,1853,2,-0.19
185303,1853,3,-0.18
185304,1853,4,-0.19
185305,1853,5,-0.16
185306,1853,6,-0.13
185307,1853,7,-0.09
185308,1853,8,-0.07
185309,1853,9,-0.08
185310,1853,10,-0.08
185311,1853,11,-0.09
185312,1853,12,-0.08
185401,1854,1,-0.22
185402,1854,2,-0.16
185403,1854,3,-0.13
185404,1854,4,-0.11
185405,1854,5,-0.11
185406,1854,6,-0.09
185407,1854,7,-0.08
185408,1854,8,-0.08
185409,1854,9,-0.07
185410,1854,10,-0.06
185411,1854,11,-0.06
185412,1854,12,-0.06
185501,1855,1,-0.09
185502,1855,2,-0.09
185503,1855,3,-0.07
185504,1855,4,-0.08
185505,1855,5,-0.09
185506,1855,6,-0.08
185507,1855,7,-0.09
185508,1855,8,-0.09
185509,1855,9,-0.09
185510,1855,10,-0.09
185511,1855,11,-0.09
185512,1855,12,-0.09
185601,1856,1,0.17
185602,1856,2,0.09
185603,1856,3,0.04
185604,1856,4,-0.04
185605,1856,5,-0.06
185606,1856,6,-0.06
185607,1856,7,-0.07
185608,1856,8,-0.1
185609,1856,9,-0.12
185610,1856,10,-0.14
185611,1856,11,-0.14
185612,1856,12,-0.14
185701,1857,1,-0.11
185702,1857,2,-0.22
185703,1857,3,-0.2
185704,1857,4,-0.22
185705,1857,5,-0.25
185706,1857,6,-0.24
185707,1857,7,-0.23
185708,1857,8,-0.22
185709,1857,9,-0.22
185710,1857,10,-0.23
185711,1857,11,-0.22
185712,1857,12,-0.2
185801,1858,1,-0.14
185802,1858,2,-0.15
185803,1858,3,-0.12
185804,1858,4,-0.15
185805,1858,5,-0.17
185806,1858,6,-0.16
185807,1858,7,-0.15
185808,1858,8,-0.14
185809,1858,9,-0.15
185810,1858,10,-0.14
185811,1858,11,-0.14
185812,1858,12,-0.15
185901,1859,1,-0.16
185902,1859,2,-0.11
185903,1859,3,-0.09
185904,1859,4,-0.08
185905,1859,5,-0.06
185906,1859,6,-0.06
185907,1859,7,-0.09
185908,1859,8,-0.07
185909,1859,9,-0.09
185910,1859,10,-0.1
185911,1859,11,-0.1
185912,1859,12,-0.08
186001,1860,1,-0.18
186002,1860,2,-0.18
186003,1860,3,-0.22
186004,1860,4,-0.22
186005,1860,5,-0.21
186006,1860,6,-0.21
186007,1860,7,-0.21
186008,1860,8,-0.19
186009,1860,9,-0.18
186010,1860,10,-0.2
186011,1860,11,-0.2
186012,1860,12,-0.21
186101,1861,1,-0.45
186102,1861,2,-0.51
186103,1861,3,-0.4
186104,1861,4,-0.36
186105,1861,5,-0.37
186106,1861,6,-0.34
186107,1861,7,-0.32
186108,1861,8,-0.31
186109,1861,9,-0.3
186110,1861,10,-0.29
186111,1861,11,-0.27
186112,1861,12,-0.26
186201,1862,1,-0.42
186202,1862,2,-0.41
186203,1862,3,-0.38
186204,1862,4,-0.34
186205,1862,5,-0.33
186206,1862,6,-0.31
186207,1862,7,-0.3
186208,1862,8,-0.3
186209,1862,9,-0.31
186210,1862,10,-0.31
186211,1862,11,-0.3
186212,1862,12,-0.33
186301,1863,1,-0.17
186302,1863,2,-0.22
186303,1863,3,-0.21
186304,1863,4,-0.2
186305,1863,5,-0.22
186306,1863,6,-0.23
186307,1863,7,-0.25
186308,1863,8,-0.25
