decimal_year,gmsl_mm,date
1992.9594981674402,-16.737,1992-12-17
1992.9845805846617,-19.642,1992-12-26
1993.010369038207,-21.363,1993-01-04
1993.038722377977,-21.283,1993-01-15
1993.0621585641325,-21.004,1993-01-23
1993.0956181759022,-21.189,1993-02-04
1993.1187993922326,-19.088,1993-02-13
1993.1474015832978,-17.498,1993-02-23
1993.174658153229,-16.432,1993-03-05
1993.2018804399058,-15.728,1993-03-15
1993.2289436216765,-16.151,1993-03-25
1993.2833551589763,-17.075,1993-04-14
1993.3105184683357,-13.464,1993-04-24
1993.3377012882097,-15.154,1993-05-04
1993.364867009428,-17.077,1993-05-14
1993.3920089490427,-17.278,1993-05-24
1993.4191896455384,-16.506,1993-06-03
1993.44636257974,-14.609,1993-06-12
1993.472447977516,-12.413,1993-06-22
1993.5006855125612,-13.797,1993-07-02
1993.5278134162168,-14.517,1993-07-12
1993.5820696424546,-17.148,1993-08-01
1993.610129886346,-17.616,1993-08-11
1993.636552549908,-15.17,1993-08-21
1993.6636826886124,-14.551,1993-08-31
1993.6908531894105,-17.134,1993-09-10
1993.7173403876727,-19.202,1993-09-19
1993.7451971411977,-16.563,1993-09-29
1993.7723497827778,-12.48,1993-10-09
1993.7994533199853,-14.449,1993-10-19
1993.8539598654613,-16.039,1993-11-08
1993.880998662447,-16.928,1993-11-18
1993.9083915353044,-16.176,1993-11-28
1993.935350227708,-12.983,1993-12-08
1993.9625041478128,-9.005,1993-12-18
1993.9894281943648,-11.634,1993-12-28
1994.016836645218,-15.905,1994-01-07
1994.0439929857139,-12.899,1994-01-17
1994.071047942059,-10.438,1994-01-26
1994.0983497099223,-14.024,1994-02-05
1994.125516333902,-16.261,1994-02-15
1994.1526968519956,-14.42,1994-02-25
1994.1797390232427,-10.372,1994-03-07
1994.2341474498166,-8.899,1994-03-27
1994.2613380386758,-9.517,1994-04-06
1994.2885068499822,-9.717,1994-04-16
1994.3157872209192,-10.403,1994-04-26
1994.3428242976981,-11.298,1994-05-06
1994.3699509290948,-12.733,1994-05-16
1994.3972291071423,-13.553,1994-05-25
1994.4243392196456,-11.41,1994-06-04
1994.4514580756518,-9.452,1994-06-14
1994.505830098195,-15.333,1994-07-04
1994.5329701594728,-12.401,1994-07-14
1994.5601615817443,-11.909,1994-07-24
1994.5873185510472,-10.712,1994-08-03
1994.6145109438878,-11.654,1994-08-13
1994.64168151684,-11.654,1994-08-23
1994.6688159467317,-11.223,1994-09-02
1994.6959210982823,-10.673,1994-09-12
1994.723155334254,-11.728,1994-09-21
1994.7501874484242,-10.902,1994-10-01
1994.7773924426926,-10.757,1994-10-11
1994.8046586071166,-9.66,1994-10-21
1994.8317696502659,-9.508,1994-10-31
1994.8861557048228,-11.664,1994-11-20
1994.913336447894,-13.284,1994-11-30
1994.9405196718717,-7.863,1994-12-10
1994.9676611650839,-5.879,1994-12-20
1994.9948062921212,-7.106,1994-12-30
1995.0219578608444,-6.005,1995-01-09
1995.0491547756014,-6.923,1995-01-18
1995.0763054160186,-2.688,1995-01-28
1995.1034890653182,-7.007,1995-02-07
1995.130657273378,-10.869,1995-02-17
1995.157766607479,-6.349,1995-02-27
1995.2121523913358,-2.522,1995-03-19
1995.2394009618881,-7.245,1995-03-29
1995.2664825876113,-6.361,1995-04-08
1995.2936580245607,-5.359,1995-04-18
1995.3207666607566,-5.945,1995-04-28
1995.3750949214912,-6.691,1995-05-17
1995.4024152947918,-6.033,1995-05-27
1995.429530326318,-3.722,1995-06-06
1995.4566723741218,-5.503,1995-06-16
1995.4837667294846,-8.714,1995-06-26
1995.5381400030003,-10.795,1995-07-16
1995.565305739214,-9.342,1995-07-26
1995.592473645767,-9.477,1995-08-05
1995.6196505983075,-7.536,1995-08-15
