period,year,month,value
189501,1895,1,26.69
189502,1895,2,26.65
189503,1895,3,31.09
189504,1895,4,36.54
189505,1895,5,41.21
189506,1895,6,45.64
189507,1895,7,49.29
189508,1895,8,52.08
189509,1895,9,53.58
189510,1895,10,53.3
189511,1895,11,52.02
189512,1895,12,50.33
189601,1896,1,31.48
189602,1896,2,33.26
189603,1896,3,34.85
189604,1896,4,39.22
189605,1896,5,43.87
189606,1896,6,48.2
189607,1896,7,51.84
189608,1896,8,54.39
189609,1896,9,55.33
189610,1896,10,54.99
189611,1896,11,53.47
189612,1896,12,51.98
189701,1897,1,28.17
189702,1897,2,30.78
189703,1897,3,33.45
189704,1897,4,37.88
189705,1897,5,42.53
189706,1897,6,46.79
189707,1897,7,50.58
189708,1897,8,53.18
189709,1897,9,54.64
189710,1897,10,54.69
189711,1897,11,53.43
189712,1897,12,51.54
189801,1898,1,30.67
189802,1898,2,33.02
189803,1898,3,35.7
189804,1898,4,39.47
189805,1898,5,43.56
189806,1898,6,47.85
189807,1898,7,51.48
189808,1898,8,54.14
189809,1898,9,55.39
189810,1898,10,55
189811,1898,11,53.49
189812,1898,12,51.42
189901,1899,1,29.68
189902,1899,2,27.59
189903,1899,3,30.93
189904,1899,4,35.85
189905,1899,5,40.65
189906,1899,6,45.32
189907,1899,7,49.28
189908,1899,8,52.08
189909,1899,9,53.49
189910,1899,10,53.54
189911,1899,11,52.76
189912,1899,12,50.99
190001,1900,1,34.11
190002,1900,2,32.44
190003,1900,3,35.38
190004,1900,4,39.44
190005,1900,5,43.89
190006,1900,6,48.29
190007,1900,7,51.83
190008,1900,8,54.46
190009,1900,9,55.64
190010,1900,10,55.72
190011,1900,11,54.43
190012,1900,12,52.76
190101,1901,1,31.62
190102,1901,2,30.74
190103,1901,3,34.06
190104,1901,4,37.89
190105,1901,5,42.54
190106,1901,6,46.86
190107,1901,7,51.05
190108,1901,8,53.82
190109,1901,9,54.86
190110,1901,10,54.92
190111,1901,11,53.72
190112,1901,12,51.86
190201,1902,1,30.06
190202,1902,2,30.76
190203,1902,3,34.36
190204,1902,4,38.48
190205,1902,5,43.18
190206,1902,6,47.32
190207,1902,7,50.84
190208,1902,8,53.41
190209,1902,9,54.44
190210,1902,10,54.44
190211,1902,11,53.46
190212,1902,12,51.57
190301,1903,1,30.88
190302,1903,2,29.65
190303,1903,3,33.83
190304,1903,4,37.92
190305,1903,5,42.24
190306,1903,6,46.18
190307,1903,7,49.85
190308,1903,8,52.49
190309,1903,9,53.63
190310,1903,10,53.66
190311,1903,11,52.44
190312,1903,12,50.61
190401,1904,1,27.55
190402,1904,2,29.57
190403,1904,3,33.63
190404,1904,4,37.59
190405,1904,5,42.09
190406,1904,6,46.29
190407,1904,7,49.86
190408,1904,8,52.47
190409,1904,9,53.85
190410,1904,10,53.86
190411,1904,11,52.88
190412,1904,12,51.15
190501,1905,1,27.12
190502,1905,2,27.03
190503,1905,3,33.06
190504,1905,4,37.41
190505,1905,5,41.76
190506,1905,6,46.13
190507,1905,7,49.82
190508,1905,8,52.64
190509,1905,9,54.11
190510,1905,10,53.87
190511,1905,11,52.81
190512,1905,12,50.99
190601,1906,1,32.88
190602,1906,2,33.29
190603,1906,3,34.22
190604,1906,4,38.85
190605,1906,5,42.99
190606,1906,6,47.04
190607,1906,7,50.66
190608,1906,8,53.3
190609,1906,9,54.74
190610,1906,10,54.52
190611,1906,11,53.24
190612,1906,12,51.72
190701,1907,1,30.7
190702,1907,2,33.08
190703,1907,3,37.29
190704,1907,4,39.85
190705,1907,5,43.05
190706,1907,6,46.82
190707,1907,7,50.49
190708,1907,8,53.02
190709,1907,9,54.26
190710,1907,10,54.22
190711,1907,11,53
190712,1907,12,51.47
190801,1908,1,32.45
190802,1908,2,32.72
190803,1908,3,36.45
190804,1908,4,40.52
190805,1908,5,44.18
190806,1908,6,47.96
190807,1908,7,51.56
190808,1908,8,53.95
190809,1908,9,55.24
190810,1908,10,54.89
190811,1908,11,53.77
190812,1908,12,52.07
190901,1909,1,32.31
190902,1909,2,33.67
190903,1909,3,35.89
190904,1909,4,39.16
190905,1909,5,42.95
190906,1909,6,47.28
190907,1909,7,50.9
190908,1909,8,53.65
190909,1909,9,54.84
190910,1909,10,54.65
190911,1909,11,53.77
190912,1909,12,51.42
191001,1910,1,29.61
191002,1910,2,29.46
191003,1910,3,36.11
191004,1910,4,40.48
191005,1910,5,44.23
191006,1910,6,48.23
191007,1910,7,51.93
191008,1910,8,54.32
191009,1910,9,55.58
191010,1910,10,55.58
191011,1910,11,54.27
191012,1910,12,52.41
191101,1911,1,32.9
191102,1911,2,33.28
191103,1911,3,36.86
191104,1911,4,40.15
191105,1911,5,44.35
191106,1911,6,48.75
191107,1911,7,52.16
191108,1911,8,54.5
191109,1911,9,55.79
191110,1911,10,55.48
191111,1911,11,53.82
191112,1911,12,52.02
191201,1912,1,24.76
191202,1912,2,27.92
191203,1912,3,30.53
191204,1912,4,35.54
191205,1912,5,40.52
191206,1912,6,44.89
191207,1912,7,48.79
191208,1912,8,51.46
191209,1912,9,52.71
191210,1912,10,52.75
191211,1912,11,51.79
191212,1912,12,50.22
191301,1913,1,30.47
191302,1913,2,29.99
191303,1913,3,32.89
191304,1913,4,37.51
191305,1913,5,42.03
191306,1913,6,46.4
191307,1913,7,50.19
191308,1913,8,53.09
191309,1913,9,54.26
191310,1913,10,54
191311,1913,11,53.19
191312,1913,12,51.53
191401,1914,1,34.5
191402,1914,2,32.01
191403,1914,3,34.92
191404,1914,4,38.95
191405,1914,5,43.38
191406,1914,6,47.71
191407,1914,7,51.47
191408,1914,8,54
191409,1914,9,55.17
191410,1914,10,55.18
191411,1914,11,54.11
191412,1914,12,51.83
191501,1915,1,28.44
191502,1915,2,32.18
191503,1915,3,33.77
191504,1915,4,38.97
191505,1915,5,42.81
191506,1915,6,46.68
191507,1915,7,50.15
191508,1915,8,52.65
191509,1915,9,53.96
191510,1915,10,54.1
191511,1915,11,53.09
191512,1915,12,51.43
191601,1916,1,28.22
191602,1916,2,30.63
191603,1916,3,34.47
191604,1916,4,38.41
191605,1916,5,42.59
191606,1916,6,46.54
191607,1916,7,50.5
191608,1916,8,53.16
191609,1916,9,54.31
191610,1916,10,54.09
191611,1916,11,52.83
191612,1916,12,50.84
191701,1917,1,28.27
191702,1917,2,29.18
191703,1917,3,32.23
191704,1917,4,36.33
191705,1917,5,40.09
191706,1917,6,44.57
191707,1917,7,48.86
191708,1917,8,51.63
191709,1917,9,53.01
191710,1917,10,52.75
191711,1917,11,51.91
191712,1917,12,50.05
191801,1918,1,23.88
191802,1918,2,28.85
191803,1918,3,34.48
191804,1918,4,38.11
191805,1918,5,42.64
